,公噸,"40,703","22,238",N/A,N/A,"20,497","7,738","13,445","12,942","4,757",N/A,"2,004",
,公噸,"6,186","3,813",52,N/A,399,"1,343","1,884","1,873","3,360",89,491,
,公噸,"2,137","2,146",52,N/A,5,0,"1,751","1,792",114,68,215,
,公噸,23,14,0,N/A,0,0,9,6,11,6,3,
,公噸,408,398,0,N/A,388,381,10,11,7,4,3,
,公噸,317,962,N/A,N/A,0,962,N/A,N/A,317,N/A,N/A,
,公噸,"3,245",269,N/A,N/A,N/A,N/A,73,52,"2,902",N/A,270,
,公噸,56,24,0,N/A,6,0,41,12,9,11,0,
有害廢棄物,,,,,,,,,,,,,
,公噸,1.15,0.34,0,N/A,0,0,0,0,1.15,0.34,0,
總重量,公噸,"46,890","26,051",52,N/A,"20,896","9,081","15,329","14,815","8,118",89,"2,495","2,066"
廢棄物強度,"公噸╱
總樓面
面積平
方米",0.0238,0.0121,0.0026,N/A,0.1013,0.0393,0.0217,0.0210,0.0100,0.0001,0.0108,0.0091
