ESG指標,單位,2023年數值
A1.1 大氣污染物排放1,,
二甲苯,噸,0.00084
酚类,噸,0.0101
TVOC2,噸,0.0145
大氣污染物排放總量,噸,0.02544
大氣污染物排放總密度,噸╱百萬元,0.00003
A1.2 直接及間接溫室氣體排放3,,
溫室氣體排放量（範圍1）,噸二氧化碳當量,04
溫室氣體排放量（範圍2）,噸二氧化碳當量,"10,039.565"
溫室氣體排放總量,噸二氧化碳當量,"10,039.56"
溫室氣體排放總密度,噸二氧化碳當量╱百萬元,11.26
A1.3 有害廢棄物排放6,,
廢棄燈管,噸,0
廢棄硒鼓、墨盒,噸,0.0005
醫療廢棄物,噸,228.16
有害廢棄物排放總量,噸,228.17
有害廢棄物排放總密度,噸╱百萬元,0.2559
A1.4 無害廢棄物排放6,,
廢紙箱7,噸,7.34
辦公廢紙,噸,0.07
生活垃圾,噸,58.898
廢棄塑料,噸,1.48
無害廢棄物排放總量,噸,67.78
無害廢棄物排放總密度,噸╱百萬元,0.0760
廢紙箱回收量7,噸,7.34
辦公廢紙回收量,噸,0.01
廢棄塑料回收量,噸,1.48
無害廢棄物總回收量,噸,8.83
A2.1 能源消耗9,,
外購電力,千個千瓦時,"17,604.0010"
能源總耗量,千個千瓦時,"17,604.00"
能源總消耗密度,千個千瓦時╱百萬元,19.75
A2.2 水資源消耗,,
水資源總耗量,立方米,"24,681.58"
水資源總消耗密度,立方米╱百萬元,27.69
循環水用量11,立方米,250.00
