ESG指標,指標描述,頁碼
B2.3,描述所採納的職業健康與安全措施，以及相關執行及監察方法。,77-80
"B3 發展與培訓
一般披露",有關提升僱員履行工作職責的知識及技能的政策。描述培訓活動。,80-88
B3.1,按性別及僱員類別（如高級管理層、中級管理層）劃分的受訓僱員百分比。,88
B3.2,按性別及僱員類別劃分，每名僱員完成受訓的平均時數。,88
"B4 勞工準則
一般披露","有關防止童工或強制勞工的政策及遵守對發行人有重大影響的相關法律及規
例的資料",75
B4.1,描述檢討招聘慣例的措施以避免童工及強制勞工。,75
B4.2,描述在發現違規情況時消除有關情況所採取的步驟。,75
"B5 供應鏈管理
一般披露",管理供應鏈的環境及社會風險政策。,69-73
B5.1,按地區劃分的供應商數目。,69-73
B5.2,"描述有關聘用供應商的慣例，向其執行有關慣例的供應商數目，以及相關執
行及監察方法。",69-73
B5.3,"描述有關識別供應鏈每個環節的環境及社會風險的慣例，以及相關執行及監
察方法。",69-73
B5.4,"描述在揀選供應商時促使多用環保產品及服務的慣例，以及相關執行及監察
方法。",69-73
