Environmental,Unit,2023
,,
"環境範疇
GHG emissions per square metre (scopes 1 and 2)
1 2
每平方米溫室氣體排放量（範圍 及 ）","單位
Tonnes of CO -
2
equivalent/
square metre
公噸二氧化碳當量╱","二零二三年度
0.05"
"平方米
Waste",,
"廢棄物
Hazardous waste",,
"有害廢棄物
Battery",Quantity,468
"廢棄電池
Ink and toner cartridges","件
Quantity",16
"廢墨盒、廢碳粉盒 件
Paper consumption",,
"紙張用量
Paper consumption",Kilogram,"9,834.81"
"紙張用量
Paper consumption per employee","千克
Kilogram/employee",5.62
"人均紙張用量 千克╱員工
Energy consumption",,
"能源消耗
Total power consumption",kWh,"2,939,171.35"
"總耗電量
Total power consumption intensity (per employee)","千瓦時
kWh/employee","1,679,53"
"總耗電密度（每名員工）
Total power consumption intensity (per square meter)","千瓦時╱員工
kWh/square metre",90.14
