,基建,,,電訊,,,總額,,
,2021,2022,2023,2021,2022,2023,2021,2022,2023
,,,,,,,,,
,82%,83%,86%,73%,75%,86%,83%,81%,83%
,,,,,,,,,
,78%,77%,75%,65%,64%,63%,42%,44%,45%
,22%,23%,25%,35%,36%,37%,58%,56%,55%
,12%,12%,12%,7%,6%,11%,5%,6%,6%
,88%,88%,88%,93%,94%,89%,95%,94%,94%
,,,,,,,,,
,22.4,23.2,29.54,24.3,32.3,27.0,25.3,22.9,23.1
,25.2,26.5,34.5,24.4,32.5,27.1,21.0,22.5,24.7
,13.9,13.5,14.4,24.2,31.8,26.9,28.8,23.1,21.8
,35.5,21.9,22.2,15.8,22.0,12.3,22.0,21.6,17.4
,21.3,23.3,30.4,25.1,33.1,29.3,25.4,22.9,23.5
,,,,,,,,,
,"34,142","32,095","30,090","23,029","22,663","27,693","92,377","100,893","95,703"
,"3,860","2,559","2,647",414,361,416,"10,691","11,227","10,064"
,983,786,734,351,379,343,"7,080","6,746","5,718"
,"11,915","12,689","11,154","9,170","7,220","11,465","30,419","30,273","31,393"
,"4,995","1,847","2,527",6,12,21,"5,043","1,992","2,674"
,"12,389","14,214","13,028","13,088","14,691","15,448","39,144","50,655","45,854"
,,,,,,,,,
,,,,,,,,,
,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%,0.0%
,,,,,,,,,
,,,,,,,,,
,"8,746","9,628","16,408","57,924","47,964","36,056","69,803","61,535","56,253"
,"264,285","244,518","281,383","1,226,730","1,138,633","912,108","1,621,698","1,520,805","1,345,8386"
,,,,,,,,,
,"6,349","16,251","21,245","7,644","6,385","10,2837","115,733","111,468","105,572"
,"6,120","15,415","19,928","5,946","5,034","7,886","85,602","76,278","78,724"
,229,836,"1,317","1,698","1,351","2,397","30,131","35,190","26,848"
,18%,43%,55%,33%,29%,45%,50%,44%,46%
,,,,,,,,,
,,,,,,,,,
,"10,428","13,491","21,872","17,610","12,554","14,379","134,233","90,900","98,877"
,"10,193","12,982","20,746","13,446","9,780","10,996","116,713","77,980","86,182"
,235,509,"1,127","4,165","2,774","3,384","17,521","12,920","12,696"
