主要股東,持有股份的身分,"持有公司普通股
股份總權益","佔公司已發行
股本（%）"
,,,
,,,
Bermuda Trust Company Limited,受託人╱受控法團權益,"305,591,730
附註1",12.10
Guardian Limited,受益人╱受控法團權益,"218,651,853
附註3",8.65
Harneys Trustees Limited,受託人╱受控法團權益,"629,177,978
附註3",24.90
Lawrencium Holdings Limited,受益人,"170,181,913
附註2",6.74
Lawrencium Mikado Holdings Limited,受益人,"233,044,212
附註2",9.22
The Magna Foundation,受益人,"233,044,212
附註2",9.22
The Mikado Private Trust Company Limited,受託人╱受控法團權益,"410,526,125
附註2",16.25
Oak CLP Limited,受益人,"218,651,853
附註4",8.65
Oak (Unit Trust) Holdings Limited,受託人,"218,651,853
附註1",8.65
The Oak Private Trust Company Limited,受託人╱受控法團權益,"218,651,853
附註4",8.65
米高嘉道理爵士,附註5,"410,526,125
附註5",16.25
利約翰先生,附註3及6,"218,821,853
附註3及6",8.66
斐歷嘉道理先生,附註7,"409,226,125
附註7",16.20
