最高實體風險指標,,2050年對資產價值的估計影響,香港,,內地,,英國,,全球平均水平,
,,,"棕色
情景","綠松色
情景","棕色
情景","綠松色
情景","棕色
情景","綠松色
情景","棕色
情景","綠松色
情景"
"長
期
性
風
險","全年平均氣溫
上升","• 營運風險增加
• 工人生產力下降
• 缺勤率上升",,,,,,,,
,"全年總降雨量增
加","• 水資源供應有變
• 滑坡附近場地的安全隱患",,,,,,,,
,平均風速下降,"• 積聚更多空氣污染物
• 空氣質量及健康問題惡化
• 影響長期風能發電",,,,,,,,
,海平面上升,"• 洪水風險增加及財產損壞而導致
損失
• 影響供應鏈的可依賴性並增加營
運風險",,,,,,,,
"即
時
性
風
險","出現極端酷熱
天氣次數增加","• 職業健康風險增加（例如戶外工
作者熱衰竭、中暑）
• 生產效率降低導致施工週期延長
• 影響遊客選擇出行地點及出行次
數",,,,,,,,
,,,,,,,,,,
,風暴潮,"• 威脅人類健康與安全
• 財產損壞而導致重大損失",,,,,,,,
,"出現極端寒冷
天氣次數增加","• 極端低溫導致上游原材料的供應
中斷
• 影響遊客選擇出行地點及出行次
數",,,,,,,,
,乾旱日數增加,"• 影響建築及居民的水資源供應
• 施工期間的抑塵用水減少",,,,,,,,
,"出現極端降雨
天氣次數增加","• 洪水風險增加及財產損壞而導致
損失
• 影響供應鏈的可依賴性並增加營
運風險",,,,,,,,
