煙氣脫硫設施,在電廠鍋爐產生的煙氣釋放到大氣層前，移除當中硫氧化物的裝置。
燃料價格調整條款賬,"中華電力所設的一個帳目，保留標準燃料成本與實際燃料支出之間的
差異。中電可向客戶收回高於標準燃料成本的費用，或以回扣方式向
客戶退還多收的費用。"
燃料調整費,"即中電向客戶收取或回扣實際燃料成本與透過基本電價收取的標準
燃料成本之間的差額。"
發電容量,一台發電機的發電量上限，又稱「裝機容量」或「額定容量」。
溫室氣體排放,"會引起溫室效應及導致氣候變化的氣體排放。中電的溫室氣體排放類
別涵蓋《 京都議定書》 所管制的六種溫室氣體。就《 京都議定書》 第二
承諾期所增加的第七種強制性氣體三氟化氮（NF ），經評估後，確認
3
為對中電的營運並不重要。（亦參閱範疇）"
增量配電網,"增量配電網是在現有電網以外新增加的配電網。作為中國內地電力市
場持續改革的措施之一，政府有序開放配售電業務，鼓勵電力公司建
立增量配電網，提供安全可靠的電力服務，為指定區域例如工商業園
區的用戶供電。"
獨立發電商,"獨立發電商是擁有及 ╱ 或營運發電設施的私人企業，可包括生產熱
能，並將電力及熱能出售給公用事業、政府買家及最終用戶。"
全國電力市場,"澳洲的「全國電力市場」是電力批發的現貨市場，連繫六個地區市場，
包括昆士蘭州、新南威爾斯州、澳洲首都領地、維多利亞州、南澳
州及塔斯曼尼亞州。"
"淨零溫室氣體排放
（淨零排放）","指減少溫室氣體排放，而剩餘排放量則透過減少大氣中等量的溫室氣
體來抵銷。"
零碳排放能源,"在發電過程中不會為大氣層額外增加碳排放的能源，如風能、太陽
能、水能及核能。不包括轉廢為能和不同型態的生物質能。"
海上液化天然氣接收站,"海上液化天然氣接收站接收由船運而來的液化天然氣，經處理後成為
燃料。液化天然氣會在「浮式儲存再氣化裝置」上卸貨、儲存及再氣
化，然後運往發電廠或其他用戶。"
購電安排,向另一家電廠購買電力的長期協議。請參閱此列表的「購電容量」。
粒狀物,懸浮在空氣中的微小固體或液態粒子。
