調峰電廠,通常在用電高峰時段需要啟動用以增加發電量的電廠。
准許利潤,"根據與香港政府簽訂的管制計劃協議，中電的年度准許利潤為該年度
固定資產平均淨值總額的8%。按協議訂定的計算方法，年度的固定
資產平均淨值，是指該年度固定資產成本減去折舊，在期初和期終兩
項結餘的平均數。"
購電協議,"訂明交付細則，如容量分配、將供應的電量及財務條款等的長期供電
協議。"
抽水蓄能,"用於大規模儲存能量的方法。在非用電高峰時段，用電力將水輸送至
水庫。在用電高峰時段，水庫開閘以水力發電。"
可再生能源,"產生自可再生資源的能源，這些資源可於「人類的時間尺度」內自然補
充，包括陽光、地熱、風、潮汐、水、轉廢為能和不同型態的生物
質能。"
可再生能源證書,"在香港，可再生能源證書上標示的電力，代表由中華電力購買或生產
的太陽能、風能及堆填區沼氣所產生的可再生能源電力的環境權益。"
管制計劃協議,"管制計劃協議訂明規管電力行業的架構、程序和政策，協議期由
2018年10月1日至2033年12月31日。監管並適用於中華電力和青電
的財務事宜及中華電力和青電在協議期內有責任以訂明的方式提供、
營運和確保足夠的電力相關設施，以滿足香港電力需求。"
科學基礎目標,"一項與《巴黎協定》相符的減少溫室氣體目標，將全球氣溫升幅與工業
化前時期相比控制在遠低於攝氏2度內，並努力將溫度升幅控制在攝
氏1.5度內。科學基礎目標由科學基礎目標倡議組織（SBTi）管理。"
範疇,"《溫室氣體議定書》將溫室氣體排放定義為三種範疇。範疇一泛指源自
於企業擁有或控制的排放源的直接溫室氣體排放。範疇二泛指來自於
企業的外購電力生產期間所產生的間接溫室氣體排放。範疇三泛指不
被包括在範疇二內、在組織的價值鏈中產生的其他間接溫室氣體
排放。"
電費穩定基金,"根據管制計劃協議，倘於某一期間電費收入毛額低於或超過管制計劃
下之經營費用、准許利潤及稅項的總和，不足數額須從電費穩定基金
中扣除，而超出之數額則須撥入電費穩定基金。"
使用率,"發電機組於特定期間的總發電量佔最高總發電量的比例，又稱為「總
容量系數」。"
轉廢為能,一種利用廢物，例如以堆填區沼氣作燃料的可再生能源發電方式。
批發電價,"在電力批發市場中，由能源零售商或配電商向電廠大量購電所支付的
市場價格，反映當時的供求情況。"
