,,,,
主題,副主題,風險和機遇,價值鏈,時間範圍
,,,,
,,,,
淨零轉型,"應對不斷變化
的規管環境","財務風險：全球不斷演變的淨零政策可能會
推動中電加速關閉燃煤電廠，迫使其提前承
擔轉型成本（例如收入、退役及轉型帶來的成
本）。",企業營運,長期
,,,,
,,"財務風險：倘中電無法應對不同地區的規管變
化，則可能面對法律和規管制裁、政府對
中電的信任度下降，進而導致夥伴合作機會
減少，以及可能損失市場份額。",上游,中期
,,,,
,"投資零碳
能源基建","財務機遇：烏克蘭戰爭使能源穩定性備受關注，
可能導致某些市場加速發展可再生能源來代替
天然氣；中電可受惠於投資可再生能源及穩定
發電容量，以支持長遠減碳，並保持能源供
應穩定。",企業營運,短期
,,,,
,,"財務機遇：投資電池儲能項目，以滿足家居
（屋頂太陽能）及工業（超過100兆瓦）可再生
能源系統的電池儲能需求。",企業營運,短期
,,,,
,,"財務機遇：在整個發電資產的使用期限內，
核電與化石燃料的發電成本相近；中電透過更
新或擴展核能基建，可降低能源生產成本，
同時配合減碳。",企業營運,短期
,,,,
,"應對地緣
政局動盪","財務風險：國際資本在如香港般的開放型經
濟體自由流動，可能對地緣政治趨勢反應敏
感，有機會影響中電籌集資本的能力及其股
價，令集團需要拓闊更多元化的融資渠道。",下游,短期
,,,,
