社會關鍵績效指標（附註1）,單位,集團,
,,2023年,2022年
僱員資料,,,
僱員總數,數目,"56,972","54,677"
按性別劃分,,,
男性,百分比,49%,49%
女性,百分比,51%,51%
按僱傭性質劃分,,,
全職,百分比,42%,44%
兼職及臨時,百分比,57%,55%
合約,百分比,1%,1%
按年齡組別劃分,,,
18至30歲,百分比,45%,45%
31至50歲,百分比,36%,36%
50歲以上,百分比,19%,19%
按地區劃分,,,
香港,百分比,19%,19%
內地,百分比,9%,10%
海外,百分比,72%,71%
全職僱員流失率,,,
按性別劃分,,,
男性,百分比,16%,18%
女性,百分比,15%,17%
按年齡組別劃分,,,
18至30歲,百分比,31%,35%
31至50歲,百分比,13%,15%
50歲以上,百分比,9%,10%
按地區劃分,,,
香港,百分比,14%,15%
內地,百分比,7%,5%
海外,百分比,22%,27%
新僱員,,,
新僱員總數,數目,"3,548",不適用（附註2）
按性別劃分,,,
男性,數目,"1,984",不適用
女性,數目,"1,564",不適用
按年齡組別劃分,,,
18至30歲,數目,852,不適用
31至50歲,數目,"1,519",不適用
50歲以上,數目,"1,177",不適用
按僱員類別劃分,,,
經理級或以上,數目,98,不適用
一般僱員,數目,"3,450",不適用
按經驗水平劃分,,,
應屆畢業生,數目,241,不適用
有經驗的僱員,數目,"3,307",不適用
