類別,指標,2021年,2022年,2023年
,原油消耗量（萬噸）,34.32,25.93,
,天然氣消耗量（億立方米）,24.69,25.82,
,柴油消耗量（萬噸）,5.71,5.15,
,電力消耗量（億千瓦時）,6.36,12.85,
,節能量（噸標準煤）,"161,493","275,710",
,單位油氣產量綜合能耗1（噸標準煤/噸）,0.0592,0.0571,
,溫室氣體直接排放量2（萬噸二氧化碳當量）,977.4,977.9,
,溫室氣體間接排放量3（萬噸二氧化碳當量）,53.1,110.1,
,溫室氣體總排放量（萬噸二氧化碳當量）,"1,030.5","1,087.9",
,單位油氣產量溫室氣體排放量4（噸二氧化碳當量/噸）,0.1597,0.1556,
,無害廢棄物（噸）,"51,495","73,411",
,有害廢棄物（噸）,"40,918","50,979",
,公司新鮮水總用量（萬噸）,212.7,198.6,
,單位油氣產量新鮮水用量（立方米/噸）,0.0330,0.0284,
,全年共實現節水（萬噸）,4.9,7.45,
,員工數量,"19,086","21,452",
,女性員工數量,"3,009","3,634",
,總培訓數量（小時）,"3,850,251","5,420,872",
,職業健康檢查覆蓋率（%）,100,100,
