層面,內容,在報告中位置,外部鑒證
,"一般披露
有關提供安全工作環境及保障僱員避免職業性危害的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。",P41-P48,
,B2.1過去三年（包括匯報年度）每年因工亡故的人數及比率。,P43,
,B2.2 因工傷損失工作日數。,P43,
,B2.3 描述所採納的職業健康與安全措施，以及相關執行及監察方法。,P43-P48,
,"一般披露
有關提升僱員履行工作職責的知識及技能的政策。描述培訓活動。
注：培訓指職業培訓，可包括由僱主付費的內外部課程。",P72-P73,
,B3.1 按性別及僱員類別（如高級管理層、中級管理層等）劃分的受訓僱員百分比。,P74,
,B3.2 按性別及僱員類別劃分，每名僱員完成受訓的平均時數。,P74,
,"一般披露
有關防止童工或強制勞工的：
(a) 政策﹔及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。",P67,
,B4.1 描述檢討招聘慣例的措施以避免童工及強制勞工。,P67,
,B4.2 描述在發現違規情況時消除有關情況所採取的步驟。,P67,
,"一般披露
管理供應鏈的環境及社會風險政策。",P31、P37-P38,
,B5.1 按地區劃分的供應商數目。,P37,
,"B5.2 描述有關聘用供應商的慣例，向其執行有關慣例的供應商數目、以及有關慣例的執
行及監察方法。",P37-P38,
,B5.3 描述有關識別供應鏈每個環節的環境及社會風險的慣例，以及相關執行及監察方法。,P31、P37-P38,
,B5.4 描述在揀選供應商時促使多用環保產品及服務的慣例，以及相關執行及監察辦法。,P37,
,"一般披露
有關所提供產品和服務的健康與安全、廣告、標簽及私隱事宜以及補救方法的：
(a) 政策﹔及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。","P33
基於公司的業務性質，
不涉及提供產品和服
務的廣告與標籤事宜。",
,B6.1 已售或已運送產品總數中因安全與健康理由而須回收的百分比。,"基於公司的業務性質，
不涉及因安全與健康
理由須回收的情況。",
,B6.2 接獲關於產品及服務的投訴數目以及應對方法。,P33,
,B6.3 描述與維護及保障知識產權有關的慣例。,P35,
,B6.4 描述質量檢定過程及產品回收程序。,P33,
,B6.5 描述消費者資料保障及私隱政策，以及相關執行及監察方法。,P33,
,"一般披露
有關防止賄賂、勒索、欺詐及洗黑錢的：
(a) 政策﹔及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。",P28,
,B7.1 於匯報期內對發行人或其僱員提出並已審結的貪污訴訟案件的數目及訴訟結果。,P28,
,B7.2 描述防範措施及舉報程序，以及相關執行及監察方法。,P28,
,B7.3 描述向董事及員工提供的反貪污培訓。,P24、P28,
,"一般披露
有關以社區參與來瞭解營運所在社區需要和確保其業務活動會考慮社區利益的政策。",P9-P14、P79-P84,
,B8.1 專注貢獻範疇（如教育、環境事宜、勞工需求、健康、文化、體育）。,P9-P14、P79-P84,
,B8.2 在專注範疇所動用資源（如金錢或時間）。,P9-P14、P79-P84,
