,滙豐控股普通股認股權,,
"於2023年
1⽉1⽇",,,"於2023年
12⽉31⽇"
,年內授出1 年內⾏使2 年內失效,,
"3,018",—,"0 3,018",0
"313,743",—,"55,467 258,276",0
"9,872",—,"3,962 5,910",0
"423,920",—,"315,299 27,113","81,508"
"2,170,920",—,"1,436,210 724,164","10,546"
"913,113",—,"20,763 60,801","831,549"
"54,602,153",—,"46,191,177 1,337,945","7,073,031"
"35,375,906",—,"712,217 1,388,789","33,274,900"
"10,405,760 —",,"218,122 723,901","9,463,737"
"2,824,207 —",,"21,206 204,054","2,598,947"
"6,977,715 —",,"29,275 792,333 6,156,107",
"1,630,396 —",,"3,608 190,820 1,435,968",
,"19,903,840","106 262,278 19,641,456",
,"3,478,619","0 52,690 3,425,929",
"115,650,723 23,382,459 49,007,412 6,032,092 83,993,678",,,
