,,1.97,N/A N/A,,1.97,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,0.33,N/A N/A,,0.33,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,11.98,N/A N/A,,11.98,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,0.03,N/A N/A,,0.03,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,15.19,N/A N/A,,15.19,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,1.25,N/A N/A,,1.25,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,0.34,N/A N/A,,0.34,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,15.91,N/A N/A,,15.91,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,0.19,N/A N/A,,0.19,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,3.03,N/A N/A,,3.03,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
,,32.11,N/A N/A,,32.11,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,,N/A,N/A N/A,
廢棄物管理15 16,,,,,,,,,,,,,,,,,,,
"按類別和處理方法劃分的廢棄物 GRI 306-3, 306-4, 306-5; HKEX KPI A1.3, A1.4, A1.6",,,,,,,,,,,,,,,,,,,
,,"19,793.18","17,971.99 18,388.55",,"15,868.99","14,460.71 15,457.17",,730.44,"1,072.03 602.71",,"2,636.60","1,987.65 1,531.03",,94.99,72.64 398.74,,462.16,378.96 398.90,
,,"14,286.26","12,002.27 12,606.39",,"11,375.21","9,764.39 10,755.35",,N/A,N/A N/A,,"2,468.78","1,872.55 1,447.00",,0.60,0.29 21.56,,441.67,365.04 382.48,
,,722.06,"1,082.77 656.07",,N/A,N/A N/A,,683.44,"1,044.01 553.10",,N/A,N/A N/A,,38.62,38.76 102.97,,N/A,N/A N/A,
