主題領域、方面、一般披露和關鍵績效指標,章節╱頁碼╱備註
,
"關鍵績效指標A3.1
描述業務活動對環境及天然資源的重大影響及已採取管理有關影響的行動。","空氣質素管理，第31至32頁；
水資源管理，第32至33頁；
廢物管理與資源保護，第34至36頁；
加強環保意識及生物多樣性，第37頁"
層面A4：氣候變化,
"一般披露
識別及應對已經及可能會對發行人產生影響的重大氣候相關事宜的政策。","氣候風險和韌性管理，第25至28頁；
《氣候變化政策聲明》"
"關鍵績效指標A4.1
描述已經及可能會對發行人產生影響的重大氣候相關事宜，及應對行動。",
B.社會,
層面B1：僱傭,
"一般披露
有關薪酬及解僱、招聘及晉升、工作時數、假期、平等機會、多元化、反歧視以及其他待遇及福利的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。","與持份者建立卓越關係 — 承諾和策略方針，第39頁；培育人才，第39至46頁；
《人權政策》；《紀律守則》；《合規政策聲明》"
"關鍵績效指標B1.1
按性別、僱傭類型（如全職或兼職）、年齡組別及地區劃分的僱員總數。","培育人才，第39頁；
數據表現，第68頁"
"關鍵績效指標B1.2
按性別、年齡組別及地區劃分的僱員流失比率。",數據表現，第69頁
層面B2：健康與安全,
"一般披露
有關提供安全工作環境及保障僱員避免職業性危害的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。","保障福祉與安全，第53至58頁；
《安全及健康政策》；
《合規政策聲明》"
"關鍵績效指標B2.1
過去三年（包括匯報年度）每年因工亡故的人數及比率。",保障福祉與安全，第53頁；
"關鍵績效指標B2.2
因工傷損失工作日數。",數據表現，第70頁
"關鍵績效指標B2.3
描述所採納的職業健康與安全措施，以及相關執行及監察方法。",保障福祉與安全，第53至58頁
層面B3：發展及培訓,
"一般披露
有關提升僱員履行工作職責的知識及技能的政策。描述培訓活動。",培育人才，第43至45頁；
"關鍵績效指標B3.1
按性別及僱員類別（如高級管理層、中級管理層）劃分的受訓僱員百分比。",數據表現，第71頁
"關鍵績效指標B3.2
按性別及僱員類別劃分，每名僱員完成受訓的平均時數。","培育人才，第44頁；
數據表現，第71頁"
層面B4：勞工準則,
"一般披露
有關防止童工或強制勞工的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例的資料。","與持份者建立卓越關係 — 承諾和策略方針，第39頁；
《人權政策》；
《合規政策聲明》"
"關鍵績效指標B4.1
描述檢討招聘慣例的措施以避免童工及強制勞工。",《人權政策》
