描述,報告章節╱備註
(iv) 根據第29(a)(i)(2)段披露的範圍1和範圍2溫室氣體排放量的第29(a)(iv)條，將以下排放量分類：,數據表現，第66至67頁
(1) 合併集團帳目（例如，對於適用《國際財務報告準則》會計準則的主體，該集團將包括母公司及其合併子公司）；和,
(2) 排除在第29(a)(iv)(1)段之外的其他被投資方（例如，對於適用《國際財務報告準則會計準則》的主體，這些被投資方將包括聯營公司、合資企業和未合併子公司）；,
"(v) 對於根據第29(a)(i)(2)段，披露的範圍2溫室氣體排放量，披露其基於位置的範圍2溫室氣體排放量，並提供有關任何必要的契約文件的資訊，以告知使用者了解該主
體的範圍2溫室氣體排放量（見第B30–B31段）；和",
(vi) 根據第29(a)(i)(3)段，披露的範圍3溫室氣體排放的第段，並參照第B32–B57段，披露：,
(1) 根據《溫室氣體核算體系企業價值鏈（範圍3）會計和報告準則》（2011年）中描述的範圍3類別，主體衡量範圍3溫室氣體排放量的類別；和,
"(2) 如果該主體的活動包括資產管理、商業銀行或保險，其披露內容則有關該主體的第15類溫室氣體排放或與其投資相關的溫室氣體排放（融資排放）的其他資訊（見
第B58–B63段）；",
29(b) 轉型風險 — 易受轉型風險影響的資產或商務活動的數量和百分比；,"本集團正在進行與氣候相關的風險財務影響評估的工作。
本集團正在進行過渡風險評估，並將進一步整合易受風險影響的資產或商務
活動。更多的資訊將在未來的報告中披露。"
29(c) 物理風險 — 易受物理風險影響的資產或商務活動的數量和百分比；,
29(d) 氣候相關機遇 — 資產或其他業務活動中涉及的氣候相關機遇的數量和百分比；,
29(e) 資本配置 — 用於氣候相關風險和機遇的資本支出、融資或投資金額；,"本集團正在進行與氣候相關的風險財務影響評估的工作。更多的資訊將在未
來的報告中披露。"
29(f) 內部碳定價 — 主體應披露：,"本集團正在進行過渡風險評估，並在進一步研究碳信用額的適用性。更多的
資訊將在未來的報告中披露。"
(i) 解釋該主體是否以及如何在決策中應用碳定價（例如，投資決策、轉讓定價和情景分析）；和,
(ii) 該主體用於評估其溫室氣體排放成本的每公噸溫室氣體排放量的價格；,
29(g) 薪酬 — 主體應披露：,"我們的管理和薪酬委員會將根據一系列因素（包括集團執行管理層的職責）
評估如何將氣候相關因素納入高管薪酬中。更多的資訊及更新將在未來的報
告中披露。"
(i) 說明是否以及如何將氣候相關因素納入高管薪酬（另見第6(a)(v)段）；和,
(ii) 本報告期間，高管薪酬與氣候相關因素相關的百分比。,
"氣候相關目標
(33) 主體應披露其為監測實現其戰略目標的進展而設定的與氣候相關的定量和定性目標，以及法律或法規要求其實現的任何目標，包括任何溫室氣體排放目標。對於每個目標，主體應披露：",
33(a) 用於設定目標的指標（見第B66–B67段）；,"與自然共居 — 承諾和策略方針，第22頁；
氣候風險和韌性管理 — 指標和目標，第28頁
數據表現，第66至67頁"
33(b) 目標的目的（例如，減緩、適應或符合基於科學的措施）；,
33(c) 目標適用的主體部分（例如，目標是否適用於整個主體或僅適用於主體的一部分，例如特定營業單位或特定地理區域）；,
33(d) 目標適用的期限；,
33(e) 衡量進展情況的基礎期；和,
33(f) 任何里程碑或中期目標,
33(g) 如果目標是定量的，該目標是絕對目標或強度目標；和,
33(h) 最新的氣候變化國際協定，包括由該協定產生的管轄權承諾，如何為目標提供資訊。,
