董事局,• 承擔集團有關可持續發展策略、管理、表現與匯報等的最終責任。
,
,"• 出任董事局和主要管理委員會成員的董事或管理層，負責監督各
項業務的可持續發展表現。"
可持續發展委員會,
,"• 由集團行政總裁及執行董事蔡肇中擔任主席，其他成員包括執行
董事陳來順，和獨立非執行董事及審計委員會和提名委員會主席
葉毓強。"
,"• 在協助董事局處理可持續發展事務方面擔當重要角色，負責監督
集團可持續發展措施的推行，包括檢討相關政策與常規，以及就
集團可持續發展的管治、策略、計劃與風險事宜提供建議。"
,• 有關詳情，請參閱「可持續發展委員會的職權範圍書」。
可持續發展管理委員會,"• 可持續發展管理委員會由行政總裁、一名執行董事、首席財務總
監、集團法律顧問和公司秘書，以及數名集團管理層成員組成，
負責處理可持續發展的各項事宜和政策，推動集團的相關策略措
施。"
,• 定期向可持續發展委員會匯報並收集其意見。
業務部門的管理層,• 識別與可持續發展相關的業務風險和機遇。
,• 監察和跟進落實目標和計劃的進度。
,"• 就可持續發展措施的成就和進展，向可持續發展管理委員會提供
建議。"
