地區,項目,評估標準與評級
,,
,"啟德新九龍內地段
第6554號","綠建環評（新建建築1.2版）
暫定金級"
,,
,柏瓏,"綠建環評（新建建築1.2版）
暫定金級"
,,
,維港滙,"綠建環評（新建建築1.2版）
暫定金級"
,,
,嘉峯匯,"綠建環評（新建建築1.2版）
金級"
,,
,嘉匯,"綠建環評（新建建築1.2版）
不予評級"
,,
,嘉熙,"綠建環評（新建建築1.2版）
不予評級"
,,
,朗屏8號,"綠建環評（新建建築1.2版）
金級"
,,
,嘉悅,"綠建環評（新建建築1.2版）
銅級"
,,
南京,P20項目,"中國綠色建築二星（預認證）
中國綠色建築三星（預認證）
美國LEED CS鉑金級認證（規劃階段）
美國LEED CS金級認證（規劃階段）
美國LEED CS銀級認證（規劃階段）
美國WELL CORE金級認證（規劃階段）"
,,
上海,P18項目住宅大樓,超低能耗建築（施工階段）
,,
,P18項目辦公大樓,"中國綠色建築二星（審圖階段）
中國綠色建築三星（審圖階段）
美國LEED CS金級認證╱WELL金級認證（註冊階段完成）"
,,
,盈凱文創廣場,美國LEED金級認證
