"香港聯交所
關鍵績效指標",描述,章節╱聲明
層面B3：發展及培訓,,
一般披露,"有關提升僱員履行工作職責的知識及技能的政策。
描述培訓活動。",培育人才 — 培訓與發展
B3.1,"按性別及僱員類別（如高級管理層、中級管理層）劃
分的受訓僱員百分比。","培育人才 — 培訓與發展；
附錄一 — 表現數據摘要"
B3.2,"按性別及僱員類別劃分，每名僱員完成受訓的平均
時數。",附錄一 — 表現數據摘要
層面B4：勞工準則,,
一般披露,"有關防止童工或強制勞工的：
(a)政策；及
(b)遵守對發行人有重大影響的相關法律及規例的資
料。",培育人才 — 優化僱員招聘
B4.1,描述檢討招聘慣例的措施以避免童工及強制勞工。,培育人才 — 優化僱員招聘
B4.2,描述在發現違規情況時消除有關情況所採取的步驟。,培育人才 — 優化僱員招聘
層面B5：供應鏈管理,,
一般披露,管理供應鏈的環境及社會風險政策。,"建立客戶關係及價值鏈
— 負責任的供應鏈管理"
B5.1,按地區劃分的供應商數目。,"建立客戶關係及價值鏈
— 負責任的供應鏈管理；
附錄一 — 表現數據摘要"
B5.2,"描述有關聘用供應商的慣例，向其執行有關慣例的
供應商數目，以及相關執行及監察方法。","建立客戶關係及價值鏈
— 負責任的供應鏈管理"
B5.3,"描述有關識別供應鏈每個環節的環境及社會風險的
慣例，以及相關執行及監察方法。","建立客戶關係及價值鏈
— 負責任的供應鏈管理"
B5.4,"描述在揀選供應商時促使多用環保產品及服務的慣
例，以及相關執行及監察方法。","建立客戶關係及價值鏈
— 負責任的供應鏈管理"
