物業,認證範圍,認證類別,評級
上海恒隆廣場,"整座物業組合 (購物商場,
第一座辦公樓, 第二座辦
公樓)",能源及環境設計先鋒獎 v4.0 運營和維護,鉑金獎
,,WELL v2 核心,鉑金獎
,,WELL 健康─安全評價,-
上海港匯恒隆廣場,"購物商場, 第一座辦公樓",能源及環境設計先鋒獎 v4.0 運營和維護,鉑金獎
,第一座辦公樓,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,"購物商場, 第一座辦公樓",WELL 健康─安全評價,-
瀋陽皇城恒隆廣場,整座物業,能源及環境設計先鋒獎 BD+C — 核心與外殼 v2,金獎
,,WELL 健康─安全評價,-
瀋陽市府恒隆廣場,購物商場,能源及環境設計先鋒獎 BD+C — 核心與外殼 v2,金獎
,第一座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v2,金獎
,整座物業組合,WELL 健康─安全評價,-
濟南恒隆廣場,整座物業,能源及環境設計先鋒獎 BD+C — 核心與外殼 v2,金獎
,,WELL 健康─安全評價,-
無錫恒隆廣場 （一期）,購物商場,能源及環境設計先鋒獎 BD+C — 核心與外殼 v2,金獎
,第一座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v2,金獎
,第二座辦公樓,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,整座物業組合,WELL 健康─安全評價,-
天津恒隆廣場,整座物業,能源及環境設計先鋒獎 BD+C — 核心與外殼 v2,金獎
,整座物業組合,WELL 健康─安全評價,-
大連恒隆廣場,整座物業,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,整座物業組合,WELL 健康─安全評價,-
昆明恒隆廣場,購物商場,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,第一座辦公樓,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,整座物業組合,WELL 健康─安全評價,-
