物業,認證範圍,認證類別,評級
無錫恒隆廣場,第一座服務式寓所,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,第二座服務式寓所,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,酒店,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,整座物業組合,中國綠色建築設計標識,二星
昆明恒隆廣場,服務式寓所,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
武漢恒隆廣場,第一座服務式寓所,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,第二座服務式寓所,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
,第三座服務式寓所,"能源及環境設計先鋒獎 BD+C — 核心與外殼
v3 2009",金獎
杭州恒隆廣場,購物商場,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,第一座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,鉑金獎
,第二座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,鉑金獎
,第三座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,第四座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,第五座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,第六座辦公樓,能源及環境設計先鋒獎 BD+C — 核心與外殼 v4,金獎
,整座物業組合,中國綠色建築設計標識,三星
