,,香港,,,內地,,,總計,,
指標,單位,2021,2022,2023,2021,2022,2023,2021,2022,2023
文職人員,,100%,100%,100%,100%,100%,100%,100%,100%,100%
前線人員,,100%,100%,100%,100%,100%,100%,100%,100%,100%
受集體談判協約保障的員工,,,,,,,,,,
"佔員工總數的百
分比",%,0%,0%,0%,40%,39%,39%,不適用,不適用,不適用
職業健康與安全 (10),,,,,,,,,,
工作時數,小時,"2,366,760","2,352,395","2,380,526","6,204,736","6,459,487","6,553,524","8,571,496","8,811,882","8,934,050"
因工死亡事故 (11),次數,0,0,0,0,0,0,0,0,0
因工死亡百分比,%,0%,0%,0%,0%,0%,0%,0%,0%,0%
工傷,次數,27,20,23,29,32,22,56,52,45
"工傷比率（ 每百名
員工 ）",不適用,2.28,1.70,1.93,0.93,0.99,0.67,1.31,1.18,1.01
損失工時工傷,次數,26,19,21,27,14,20,53,33,41
"損失工時受傷比率
(LTIR) (12)",不適用,2.20,1.62,1.76,0.87,0.43,0.61,1.24,0.75,0.92
"損失工作日事故頻
率 (LTIFR)","工傷數目╱
百萬工作時
數",10.99,8.08,8.82,4.35,2.17,3.05,6.18,3.74,4.59
嚴重工傷 (13),次數,2,0,2,2,3,0,4,3,2
"嚴重工傷比率（每
百名員工）",不適用,0.17,0.00,0.17,0.06,0.09,0.00,0.09,0.07,0.04
"因工傷損失工作
日數",日數,537,387,"1,040",828,962,402,"1,365","1,349","1,442"
"損失日數比率（ 每
百名員工 ）",不適用,45.38,32.90,87.38,26.69,29.78,12.27,31.85,30.61,32.28
缺勤率 (14),%,2.17%,2.00%,2.32%,1.63%,1.56%,1.50%,1.78%,1.67%,1.72%
