"4,771,592","12,366,274","2,508,656","3,335","(577,347)","19,573,200","763,455","39,409,165","566,802","39,975,967"
,,,,,,,,,
–,–,–,–,–,"3,013,255",–,"3,013,255","269,373","3,282,628"
–,–,–,–,"(13,232)",–,–,"(13,232)","3,713","(9,519)"
,,,,,,,,,
–,–,–,–,"(13,232)","3,013,255",–,"3,000,023","273,086","3,273,109"
,,,,,,,,,
–,–,–,"631,020",–,–,–,"631,020",–,"631,020"
–,–,–,"(629,279)",–,–,–,"(629,279)",–,"(629,279)"
–,–,–,–,–,–,"(763,455)","(763,455)",–,"(763,455)"
–,–,–,–,–,"(1,002,034)","1,002,034",–,–,–
–,–,–,–,–,–,–,–,"(226,500)","(226,500)"
–,"(4,455)",–,–,–,–,–,"(4,455)",(301),"(4,756)"
,,,,,,,,,
"4,771,592","12,361,819","2,508,656","5,076","(590,579)","21,584,421","1,002,034","41,643,019","613,087","42,256,106"
,,,,,,,,,
