關鍵績效指標,披露,章節／解釋,Section/ Explanation
社會,,,
B1：僱傭,一般披露,"有關薪酬及解僱、招聘及晉升、工作時數、假期、平
等機會、多元化、反歧視以及其他待遇及福利的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例
的資料。","福祉
報告期內，集團沒有在僱傭相關法
例及法規方面，出現任何具重大影
響的經證實違規個案。"
,KPI B1.1,"按性別、僱傭類型（如全職或兼職）、年齡組別及地
區劃分的僱員總數。",可持續發展表現列表 – 社會
,KPI B1.2,按性別、年齡組別及地區劃分的僱員流失比率。,可持續發展表現列表 – 社會
"B2：健康與安
全",一般披露,"有關提供安全工作環境及保障僱員避免職業性危害
的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例
的資料。","福祉 – 員工健康及安全
可持續發展表現列表 – 社會
報告期內，集團沒有在職業健康與
安全相關法例及法規方面，出現任
何具重大影響的經證實違規個案。"
,KPI B2.1,"過去三年（包括匯報年度）每年因工亡故的人數及
比率。",可持續發展表現列表 – 社會
,KPI B2.2,因工傷損失工作日數。,可持續發展表現列表 – 社會
,KPI B2.3,"描述所採納的職業健康與安全措施，以及相關執行及
監察方法。",福祉 – 員工健康及安全
"B3：發展及培
訓",一般披露,"有關提升僱員履行工作職責的知識及技能的政策。描
述培訓活動。",福祉 – 學習與發展
,KPI B3.1,"按性別及僱員類別（如高級管理層、中級管理層）劃
分的受訓僱員百分比。",可持續發展表現列表 – 社會
,KPI B3.2,"按性別及僱員類別劃分，每名僱員完成受訓的平均
時數。",可持續發展表現列表 – 社會
B4：勞工準則,一般披露,"有關防止童工或強制勞工的：
(a) 政策；及
(b) 遵守對發行人有重大影響的相關法律及規例
的資料。","福祉
《可持續發展政策》
報告期內，集團沒有在童工和強迫
勞動相關法例及法規方面，出現任
何具重大影響的經證實違規個案。"
