主題,代號,會計指標,章節 ╱解釋
能源管理,IF-RE-130a.1,"按物業類型劃分的能源耗用數據覆蓋範圍佔總
樓面面積 的百分比",100%
,IF-RE-130a.2,"按物業類型劃分的：
(1) 總能源消耗，連同數據覆蓋範圍、
(2) 電網用電量百分比，以及
(3) 可再生能源百分比","可持續發展表現列表 – 環境
71%
12.3%"
,IF-RE-130a.3,"按物業類型劃分的能源消耗用同期百分比變化
及其數據 覆蓋範圍",資源管理 – 能源管理
,IF-RE-130a.4,"按物業類型劃分：
(1) 具能源評級的物業組合百分比及
(2) 獲評為「能源之星」(ENERGY STAR) 的物
業組合百 分比",無
,IF-RE-130a.5,"說明如何將樓宇能源管理因素納入物業投資分
析及營運 策略之中",資源管理 – 能源管理
水資源管理,IF-RE-140a.1,"(1) 取水數據覆蓋率佔總建築面積的百分比
(2) 按物業類型劃分，從有高或極高基準用水壓
力的取 水量數據覆蓋範圍佔總建築 面積的百
分比","(1) 100%
(2) 100%"
,IF-RE-140a.2,"(1) 物業組合總取水量連按面積計的數據覆蓋範
圍，及
(2) 按物業類型劃分，從有高或極高基準用水壓
力區域 取水的百分比","(1) 可持續發展表現列表 – 環境
(2) 52%"
,IF-RE-140a.3,"按物業類型劃分，物業組合面積的取水量同期
百分比變 化連同數據覆蓋範圍",資源管理 – 水資源及其循環利用
,IF-RE-140a.4,"描述水資源管理風險，並論述減輕這些風險的
策略和 實務",資源管理 – 水資源及其循環利用
"租戶可持續發
展影響的管理",IF-RE-410a.1,"按物業類型劃分：
(1) 包含收回成本條款以促進資源效益相關的資
金改善 的新租約百分比，及
(2) 有關的出租樓面面積",現時沒有追蹤。
,IF-RE-410a.2,"按物業類型劃分，租戶被獨立量度或次級量
度：
(1) 電網耗電量的百分比，及
(2) 取水量的百分比","(1) 69%
(2) 現時沒有追蹤。"
,IF-RE-410a.3,"論述量度、推動和改善租戶可持續發展影響的
方針",可持續交易 – 租戶
適應氣候變化,IF-RE-450a.1,"按物業類型劃分，位於百年一遇水災區域的物
業面積",應對氣候變化 – 氣候適應
