,,,,
"12,051,135","25,717,532","3,938,827","2,334,747","44,042,241"
"16,421","39,438","5,930","4,586","66,375"
,,,,
"12, 067,556","25, 756,970","3, 944,757","2, 339,333","44, 108,616"
"303,606","44,491","292,532","9,598","650,227"
,,,,
"12, 371,162","25, 801,461","4, 237,289","2, 348,931","44, 758,843"
"(303,606)","(44,491)","(292,532)","(9,598)","(650,227)"
,,,,
"12, 067,556","25, 756,970","3, 944,757","2, 339,333","44, 108,616"
,,,,
"741,015","4, 137,193","38,564","92,815","5, 009,587"
,,,,
,,,,"(37,143)"
,,,,"(996,796)"
,,,,"181,132"
,,,,"14,953"
,,,,"71,135"
,,,,
,,,,"4,242,868"
,,,,
,,,,"(960,240)"
,,,,
,,,,
"39,644,136","22,216,241","6,817,305","4,738,054","73,415,736"
,,,,"9,830,098"
,,,,
,,,,"83,245,834"
,,,,
"6,308,672","10,752,214","1,181,131","1,343,148","19,585,165"
,,,,"21,404,563"
,,,,
,,,,"40,989,728"
,,,,
,,,,
"6,167,001","2,781,574","311,942","485,496","9,746,013"
"2,546,153","1,354,739","788,717","505,719","5,195,328"
"216,965","119,061","52,711","26,580","415,317"
"34,376","17,027","2,841","1,652","55,896"
165,400,74,44,683
"2,749","5,869",899,533,"10,050"
－,"109,108",－,"69,201","178,309"
－,"694,550",－,"369,653","1,064,203"
,,,,
