,,,,,,
"16,510,403","62,608,317","27,326,068","92,842","1,783,771","2,523,452","110,844,853"
"(9,503,824)","(37,210,481)","(19,596,314)","(72,174)","(313,460)",(410),"(66,696,663)"
,,,,,,
"7,0 06,579","25,3 97,836","7,7 29,754","20,668","1,4 70,311","2,5 23,042","44,1 48,190"
,,,,,,
,,,,,,
"7,006,579","25,397,836","7,729,754","20,668","1,470,311","2,523,042","44,148,190"
－,"2,113,698","3,615,931","4,718",－,"3,957,434","9,691,781"
"(752,212)","(1,558,359)","(2,668,144)","(4,484)","(76,185)",－,"(5,059,384)"
"(1,811)","(33,618)","(83,026)",(528),－,－,"(118,983)"
"9,966","1,448,344","2,274,610","11,602","1,757","(3,746,279)",–
"(25,545)",－,－,－,－,－,"(25,545)"
"3,149","258,272","16,872",－,"3,484","10,550","292,327"
,,,,,,
"6,2 40,126","27,6 26,173","10,8 85,997","31,976","1,3 99,367","2,7 44,747","48,9 28,386"
,,,,,,
,,,,,,
"16,494,686","65,800,367","32,937,223","103,882","1,790,432","2,745,157","119,871,747"
"(10,254,560)","(38,174,194)","(22,051,226)","(71,906)","(391,065)",(410),"(70,943,361)"
,,,,,,
"6,2 40,126","27,6 26,173","10,8 85,997","31,976","1,3 99,367","2,7 44,747","48,9 28,386"
,,,,,,
