,,,,,
"10,535",－,"10,535","15,032",57,"25,624"
"79,320",－,"79,320","(5,370)",463,"74,413"
"299,141",－,"299,141",391,60,"299,592"
"223,030",－,"223,030","(158,956)",5,"64,079"
2,"152,269","152,271","45,899",579,"198,749"
"69,808",－,"69,808","2,134",139,"72,081"
,,,,,
"6 81,836","1 52,269","8 34,105","(1 00,870)","1,303","7 34,538"
,,,,,
,,,,,
"83,458",－,"83,458","(20,438)","8,238","71,258"
851,－,851,(668),－,183
"68,415","74,386","142,801","34,463",347,"177,611"
"772,361",－,"772,361","(4,769)",－,"767,592"
"4,324",－,"4,324","(1,795)",－,"2,529"
"48,190",－,"48,190","3,031","(7,258)","43,963"
,,,,,
"9 77,599","74,386","1,0 51,985","9,824","1,327","1,0 63,136"
,,,,,
"2 95,763","(77,883)","2 17,880","1 10,694",24,"3 28,598"
,,,,,
