物業名稱,洪水,熱浪,寒流,颱風和暴雨,地震,山泥傾瀉
香港,,,,,,
永康街九號,低,中,不適用,高,不適用,低
淘大商場,高,中,不適用,中,不適用,低
濱景園,低,低,不適用,中,不適用,中
家樂坊,中,中,不適用,中,不適用,低
恒隆中心,高,低,不適用,中,不適用,低
荷李活商業中心,中,低,不適用,高,不適用,低
康怡廣場,中,低,不適用,中,不適用,低
山頂廣場,中,低,不適用,中,不適用,低
渣打銀行大廈,高,低,不適用,高,不適用,低
御峰,低,低,不適用,中,不適用,中
壽山村道重建項目,中,低,不適用,中,不適用,高
228 電氣道*,中,低,不適用,中,不適用,未評估
Fashion Walk*,高,中,不適用,中,不適用,未評估
內地,,,,,,
無錫恒隆廣場,中,中,不適用,中,未評估,不適用
天津恒隆廣場,高,低,不適用,中,未評估,不適用
上海恒隆廣場,中,中,不適用,中,未評估,不適用
上海港匯恒隆廣場*,高,中,不適用,中,低,不適用
瀋陽市府恒隆廣場*,中,低,中,低,中,不適用
瀋陽皇城恒隆廣場*,中,低,中,低,中,不適用
濟南恒隆廣場*,高,低,不適用,低,低,不適用
大連恒隆廣場*,中,中,不適用,低,中,不適用
昆明恒隆廣場*,高,低,不適用,不適用,中,不適用
武漢恒隆廣場*,中,低,不適用,不適用,低,不適用
無錫恒隆廣場二期,中,中,不適用,中,未評估,不適用
杭州恒隆廣場,中,低,不適用,中,未評估,不適用
