利益相关方,关注点,回应与措施
监管机构及政府,"贯彻宏观政策
守法合规经营
依法纳税","法律法规跟进
依法纳税
接受监督和考核
拜访、汇报、报表"
员工,"权益保障
职业发展
健康安全
员工参与
员工关爱","平等用工政策
优化薪酬福利
四级人才培训
尊重员工多元化
职业健康安全管理
员工代表会议
开展员工文体活动
员工关爱"
股东/投资者,"完善公司治理
价值创造
防范经营风险
信息披露","定期汇报
股东大会
日常沟通
反向路演活动
发布年报和ESG报告"
客户,"提供安全、优质、高效的服务
保护客户信息安全
提高客户满意度","制定质量管理体系
持续创新技术
提供专业解决方案
拜访、沟通
保护客户信息
全面提高工作标准"
供应商及承包商,"遵守商业道德和法律法规
建立长期合作伙伴关系
互利共赢、共同发展","业务洽谈与技术交流
合同谈判与日常交流
电子管理平台"
金融机构,"经营状况
经营风险
公司治理","专题会议
信息披露"
媒体,"ESG履行情况
企业业绩
重大事件、活动和举措","信息披露
多渠道传播"
公益机构及非政府组织,"保持密切联系，信息共享
参与社会公益活动","积极参与社会公益
信息披露"
社区与公众,"加强沟通与交流
开展社会贡献活动
支持公益事业","乡村振兴
海上救助
带动就业
支持教育
社区关怀
志愿服务"
环境,"遵守环保法规
环境保护
节能减排","建立环境管理体系
开展环保培训与宣传
清洁生产
保护生物多样性
践行环保公益活动"
